Session;N_Antagene;Type analyse;Tri;N° Animal 2020;Sexe;Assignation espèce;N_tube ANTAGENE;date_relev;trace_sour;date_creat;nom_maille;id_lot;cod_maille;observateur;commune;lieu-dit;altitude;X;Y;Informations supplémentaires
S04_2020;LOT001;lot;1-Non exploitable;NA;Mâle;NA;655545;2012/01/14 15:48:01.000;3;2020-04-20;bois_delioras;18162;bois_delioras_3;;;;;;;
S04_2020;LOT002;lot;3-Exploitable;S04-022;Mâle;europaeus;655547;2012/01/14 15:45:06.000;3;2020-04-20;bois_delioras;18743;bois_delioras_3;;;;;;;
S04_2020;LOT003;lot;3-Exploitable;S04-022;Mâle;europaeus;630355;2020/01/22 08:22:50.000;3;2020-04-20;bois_delioras;18744;bois_delioras_3;;;;;;;
S04_2020;LOT004;lot;3-Exploitable;S04-023;Mâle;timidus;655540;2012/01/14 18:40:55.000;3;2020-04-20;bois_delioras;18750;bois_delioras_3;;;;;;;
S04_2020;LOT005;lot;2-Douteux;S04-020;Mâle;timidus;655526;2012/01/14 19:12:32.000;3;2020-04-20;bois_delioras;18754;bois_delioras_3;;;;;;;
S04_2020;LOT006;lot;3-Exploitable;S04-023;Mâle;timidus;655546;2012/01/14 17:02:12.000;3;2020-04-20;bois_delioras;19327;bois_delioras_3;;;;;;;
S04_2020;LOT007;lot;3-Exploitable;S04-023;Mâle;timidus;655535;2012/01/14 16:56:58.000;3;2020-04-20;bois_delioras;19328;bois_delioras_3;;;;;;;
S04_2020;LOT008;lot;3-Exploitable;S04-023;Mâle;timidus;655537;2012/01/14 17:08:14.000;3;2020-04-20;bois_delioras;19908;bois_delioras_3;;;;;;;
S04_2020;LOT009;lot;3-Exploitable;S04-018;Mâle;timidus;655541;2012/01/14 17:39:28.000;3;2020-04-20;bois_delioras;19909;bois_delioras_3;;;;;;;
S04_2020;LOT010;lot;3-Exploitable;S04-024;Mâle;timidus;655533;2012/01/14 17:46:29.000;3;2020-04-20;bois_delioras;19910;bois_delioras_3;;;;;;;
S04_2020;LOT011;lot;3-Exploitable;S04-023;Mâle;timidus;655532;2012/01/14 17:15:26.000;3;2020-04-20;bois_delioras;20489;bois_delioras_3;;;;;;;
S04_2020;LOT012;lot;3-Exploitable;S04-102;Femelle;timidus;655531;2012/01/14 17:22:38.000;3;2020-04-20;bois_delioras;20490;bois_delioras_3;;;;;;;
S04_2020;LOT013;lot;3-Exploitable;S04-024;Mâle;timidus;655527;2012/01/14 17:30:03.000;3;2020-04-20;bois_delioras;20491;bois_delioras_3;;;;;;;
S04_2020;LOT014;lot;3-Exploitable;S04-103;Femelle;timidus;626625;2020/01/22 11:19:28.000;3;2020-04-20;bois_delioras;21069;bois_delioras_3;;;;;;;
S04_2020;LOT015;lot;3-Exploitable;S04-017;Femelle;timidus;655530;2012/01/14 20:01:34.000;3;2020-04-20;bois_delioras;21072;bois_delioras_3;;;;;;;
S04_2020;LOT016;lot;3-Exploitable;S04-104;Mâle;europaeus;630342;2020/01/22 09:59:39.000;3;2020-04-20;bois_delioras;22233;bois_delioras_3;;;;;;;
S04_2020;LOT017;lot;3-Exploitable;S04-105;Mâle;europaeus;630321;2020/01/22 10:24:37.000;3;2020-04-20;bois_delioras;22815;bois_delioras_3;;;;;;;
S04_2020;LOT018;lot;3-Exploitable;S04-025;Femelle;timidus;630306;2020/01/23 09:34:57.000;31;2020-04-20;font_crese;28044;font_crese_31;;;;;;;
S04_2020;LOT019;lot;3-Exploitable;S04-025;Femelle;timidus;630362;2020/01/23 09:34:57.000;31;2020-04-20;font_crese;28626;font_crese_31;;;;;;;
S04_2020;LOT020;lot;1-Non exploitable;NA;-;NA;630375;2020/01/23 09:34:57.000;31;2020-04-20;font_crese;29788;font_crese_31;;;;;;;
S04_2020;LOT021;lot;3-Exploitable;S04-106;Femelle;timidus;630341;2020/01/23 09:34:57.000;31;2020-04-20;font_crese;30370;font_crese_31;;;;;;;
S04_2020;LOT022;lot;3-Exploitable;S04-026;Mâle;timidus;630327;2020/01/23 09:34:57.000;31;2020-04-20;font_crese;30372;font_crese_31;;;;;;;
S04_2020;LOT023;lot;3-Exploitable;S04-026;Mâle;timidus;630326;2020/01/23 09:34:57.000;31;2020-04-20;font_crese;32106;font_crese_31;;;;;;;
S04_2020;LOT024;lot;3-Exploitable;S04-026;Mâle;timidus;630333;2020/01/23 09:34:57.000;31;2020-04-20;font_crese;32686;font_crese_31;;;;;;;
S04_2020;LOT025;lot;3-Exploitable;S04-107;Mâle;timidus;630496;2020/02/17 09:30:12.000;36;2020-04-20;meyries;41966;meyries_36;;;;;;;
S04_2020;LOT026;lot;3-Exploitable;S04-108;Femelle;europaeus;630499;2020/02/17 09:34:31.000;36;2020-04-20;meyries;41967;meyries_36;;;;;;;
S04_2020;LOT027;lot;3-Exploitable;S04-109;Femelle;europaeus;630476;2020/02/17 09:38:52.000;36;2020-04-20;meyries;42548;meyries_36;;;;;;;
S04_2020;LOT028;lot;3-Exploitable;S04-110;Femelle;timidus;630498;2020/02/17 11:17:29.000;36;2020-04-20;meyries;42550;meyries_36;;;;;;;
S04_2020;LOT029;lot;1-Non exploitable;NA;-;timidus;630478;2020/02/17 11:34:09.000;36;2020-04-20;meyries;43130;meyries_36;;;;;;;
S04_2020;LOT030;lot;1-Non exploitable;NA;-;NA;630486;2020/02/17 11:27:42.000;36;2020-04-20;meyries;43131;meyries_36;;;;;;;
S04_2020;LOT031;lot;1-Non exploitable;NA;-;NA;630495;2020/02/17 11:59:37.000;36;2020-04-20;meyries;45453;meyries_36;;;;;;;
S04_2020;LOT032;lot;3-Exploitable;S04-029;Mâle;timidus;630339;2020/03/10 10:15:28.000;29;2020-04-20;moutiere;72772;moutiere_29;;;;;;;
S04_2020;LOT033;lot;3-Exploitable;S04-030;Mâle;timidus;630335;2020/03/10 10:01:22.000;29;2020-04-20;moutiere;72773;moutiere_29;;;;;;;
S04_2020;LOT034;lot;3-Exploitable;S04-111;Femelle;timidus;667711;2020/03/10 08:36:17.000;29;2020-04-20;moutiere;73346;moutiere_29;;;;;;;
S04_2020;LOT035;lot;3-Exploitable;S04-032;Mâle;timidus;630329;2020/03/10 12:29:25.000;29;2020-04-20;moutiere;73349;moutiere_29;;;;;;;
S04_2020;LOT036;lot;3-Exploitable;S04-014;Mâle;timidus;667712;2020/03/10 08:53:24.000;29;2020-04-20;moutiere;73928;moutiere_29;;;;;;;
S04_2020;LOT037;lot;2-Douteux;S04-030;Mâle;timidus;630318;2020/03/10 11:09:41.000;29;2020-04-20;moutiere;73932;moutiere_29;;;;;;;
S04_2020;LOT038;lot;3-Exploitable;S04-029;Mâle;timidus;630315;2020/03/10 10:33:05.000;29;2020-04-20;moutiere;73934;moutiere_29;;;;;;;
S04_2020;LOT039;lot;3-Exploitable;S04-032;Mâle;timidus;667721;2020/03/10 09:58:34.000;29;2020-04-20;moutiere;74511;moutiere_29;;;;;;;
S04_2020;LOT040;lot;3-Exploitable;S04-032;Mâle;timidus;667716;2020/03/10 09:24:51.000;29;2020-04-20;moutiere;75089;moutiere_29;;;;;;;
S04_2020;LOT041;lot;3-Exploitable;S04-032;Mâle;timidus;667707;2020/03/10 09:33:21.000;29;2020-04-20;moutiere;75090;moutiere_29;;;;;;;
S04_2020;LOT042;lot;3-Exploitable;S04-032;Mâle;timidus;667708;2020/03/10 09:43:06.000;29;2020-04-20;moutiere;75091;moutiere_29;;;;;;;
S04_2020;LOT043;lot;3-Exploitable;S04-032;Mâle;timidus;667720;2020/03/10 10:19:29.000;29;2020-04-20;moutiere;75093;moutiere_29;;;;;;;
S04_2020;LOT044;lot;3-Exploitable;S04-012;Mâle;timidus;655558;2020/02/18 13:05:48.000;35;2020-04-20;tete_sanguiniere;80899;tete_sanguinere_35;;;;;;;
S04_2020;LOT045;lot;1-Non exploitable;NA;-;NA;655520;2020/02/19 13:06:24.000;35;2020-04-20;tete_sanguiniere;82069;tete_sanguinere_35;;;;;;;
S04_2020;LOT046;lot;3-Exploitable;S04-012;Mâle;timidus;655572;2020/02/18 13:55:18.000;35;2020-04-20;tete_sanguiniere;82641;tete_sanguinere_35;;;;;;;
S04_2020;LOT047;lot;2-Douteux;NA;Mâle;timidus;655553;2020/02/19 13:43:00.000;35;2020-04-20;tete_sanguiniere;82647;tete_sanguinere_35;;;;;;;
S04_2020;LOT048;lot;1-Non exploitable;NA;-;NA;655566;2020/02/19 13:32:04.000;35;2020-04-20;tete_sanguiniere;82648;tete_sanguinere_35;;;;;;;
S04_2020;LOT049;lot;3-Exploitable;S04-033;Mâle;timidus;655522;2020/02/19 12:39:48.000;35;2020-04-20;tete_sanguiniere;82650;tete_sanguinere_35;;;;;;;
S04_2020;LOT050;lot;3-Exploitable;S04-033;Mâle;timidus;655512;2020/02/19 12:45:49.000;35;2020-04-20;tete_sanguiniere;82651;tete_sanguinere_35;;;;;;;
S04_2020;LOT051;lot;3-Exploitable;S04-012;Mâle;timidus;655568;2020/02/18 14:16:38.000;35;2020-04-20;tete_sanguiniere;83224;tete_sanguinere_35;;;;;;;
S04_2020;LOT052;lot;3-Exploitable;S02-008;Mâle;timidus;655757;2020/02/19 14:10:48.000;35;2020-04-20;tete_sanguiniere;83225;tete_sanguinere_35;;;;;;;
S04_2020;LOT053;lot;3-Exploitable;S04-031;Mâle;timidus;655517;2020/02/19 13:06:50.000;35;2020-04-20;tete_sanguiniere;83232;tete_sanguinere_35;;;;;;;
S04_2020;LOT054;lot;3-Exploitable;S04-034;Femelle;timidus;655501;2020/02/18 11:34:41.000;35;2020-04-20;tete_sanguiniere;83804;tete_sanguinere_35;;;;;;;
S04_2020;LOT055;lot;3-Exploitable;S04-012;Mâle;timidus;655556;2020/02/18 11:18:40.000;35;2020-04-20;tete_sanguiniere;83807;tete_sanguinere_35;;;;;;;
S04_2020;LOT056;lot;3-Exploitable;S04-027;Mâle;timidus;655574;2020/02/18 10:26:11.000;35;2020-04-20;tete_sanguiniere;84387;tete_sanguinere_35;;;;;;;
S04_2020;LOT057;lot;3-Exploitable;S04-012;Mâle;timidus;655502;2020/02/18 10:40:03.000;35;2020-04-20;tete_sanguiniere;84966;tete_sanguinere_35;;;;;;;
S04_2020;LOT058;lot;1-Non exploitable;NA;Mâle;timidus;655750;2020/02/19 11:25:30.000;35;2020-04-20;tete_sanguiniere;84975;tete_sanguinere_35;;;;;;;
S04_2020;LOT059;lot;3-Exploitable;S04-012;Mâle;timidus;655503;2020/02/18 10:22:51.000;35;2020-04-20;tete_sanguiniere;85547;tete_sanguinere_35;;;;;;;
S04_2020;LOT060;lot;3-Exploitable;S04-031;Mâle;timidus;655500;2020/02/19 11:15:49.000;35;2020-04-20;tete_sanguiniere;85556;tete_sanguinere_35;;;;;;;
S04_2020;LOT061;lot;3-Exploitable;S04-012;Mâle;timidus;630467;2020/02/18 10:09:58.000;35;2020-04-20;tete_sanguiniere;86128;tete_sanguinere_35;;;;;;;
S04_2020;LOT062;lot;2-Douteux;S04-027;Mâle;timidus;655515;2020/02/18 10:13:53.000;35;2020-04-20;tete_sanguiniere;86129;tete_sanguinere_35;;;;;;;
S04_2020;LOT063;lot;2-Douteux;NA;Mâle;timidus;630459;2020/02/17 10:58:23.000;35;2020-04-20;tete_sanguiniere;86131;tete_sanguinere_35;;;;;;;
S04_2020;LOT064;lot;3-Exploitable;S04-012;Mâle;timidus;630456;2020/02/17 10:09:20.000;35;2020-04-20;tete_sanguiniere;86711;tete_sanguinere_35;;;;;;;
S04_2020;LOT065;lot;3-Exploitable;S04-010;Mâle;timidus;630457;2020/02/17 10:16:49.000;35;2020-04-20;tete_sanguiniere;86712;tete_sanguinere_35;;;;;;;
S04_2020;LOT066;lot;3-Exploitable;S04-012;Mâle;timidus;630458;2020/02/17 10:37:06.000;35;2020-04-20;tete_sanguiniere;86713;tete_sanguinere_35;;;;;;;
S04_2020;LOT067;lot;3-Exploitable;S04-033;Mâle;timidus;655518;2020/02/19 10:14:30.000;35;2020-04-20;tete_sanguiniere;86716;tete_sanguinere_35;;;;;;;
S04_2020;LOT068;lot;3-Exploitable;S04-112;Femelle;europaeus;655794;2020/01/13 08:17:21.000;42;2020-04-20;rougnouse;87209;rougnouse_42;;;;;;;
S04_2020;LOT069;lot;3-Exploitable;S04-035;Mâle;timidus;629015;2019/12/16 12:06:02.000;48;2020-04-20;gipiere;87286;gipiere_48;;;;;;;
S04_2020;LOT070;lot;3-Exploitable;S04-035;Mâle;timidus;629013;2019/12/16 11:30:37.000;48;2020-04-20;gipiere;87287;gipiere_48;;;;;;;
S04_2020;LOT071;lot;3-Exploitable;S04-113;Femelle;timidus;655797;2020/01/13 10:22:38.000;42;2020-04-20;rougnouse;87786;rougnouse_42;;;;;;;
S04_2020;LOT072;lot;3-Exploitable;S04-036;Mâle;timidus;655799;2020/01/13 09:58:46.000;42;2020-04-20;rougnouse;87787;rougnouse_42;;;;;;;
S04_2020;LOT073;lot;1-Non exploitable;NA;-;NA;630435;2019/12/17 12:09:08.000;48;2020-04-20;gipiere;87861;gipiere_48;;;;;;;
S04_2020;LOT074;lot;3-Exploitable;S04-037;Femelle;timidus;630434;2019/12/17 12:04:38.000;48;2020-04-20;gipiere;87862;gipiere_48;;;;;;;
S04_2020;LOT075;lot;3-Exploitable;S02-008;Mâle;timidus;630433;2019/12/17 11:36:08.000;48;2020-04-20;gipiere;87863;gipiere_48;;;;;;;
