Session;N_Antagene;Région;Population;Projet;Code_lot ou Code_ech Client;Type analyse;Type prélèvement;Tri;N° Animal 2020;Sexe;Taux d'amplification ou IQ;Marker OK;Nb réplicats;Assignation espèce;Probabilité timidus;CI95_bottom timidus;CI95_up timidus;Commentaires ANTAGENE;LSA2;LSA3;LSA6;LSA8;OCELAMB;OCELS1B;SAT08;SAT12;SAT13;SOL30;SOL33;SOL8;ZFXY-SRY;Nb crottes lot;N_tube ANTAGENE;date_relev;trace_sour;date_creat;nom_maille;id_lot;cod_maille;observateur;commune;lieu-dit;altitude;X;Y;Informations supplémentaires
S04_2020;626117;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-001;Mâle;0,846153846153846;10;1;timidus;0,997;0,968;1;;246248;218218;172172;000000;117117;158174;200200;114130;000000;182182;215220;116118;XY;1;-;2020-01-02;;;;;;Pardi;;Madone;0;1048959;6344247;
S04_2020;626124;Mercantour;;F414;;individuelle;fèces silica;2-Douteux;NA;Mâle;0,846153846153846;10;1;europaeus;0,104;0;0,346;contaminé;249249;208208;172172;191191;000000;160174;204204;130130;000000;174191;218218;122124;XY;1;-;2020-01-02;;;;;;Pardi;;Madone;0;1048729;6342686;
S04_2020;626171;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-061;Mâle;1;12;1;europaeus;0,015;0;0,183;;243250;210210;172172;189191;117117;162176;204204;122138;127129;180190;218220;122124;XY;1;-;2020-02-07;;;;;;Orméa;;Balaour;0;1039353;6342811;
S04_2020;626172;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-002;Mâle;0,923076923076923;11;1;timidus;0,998;0,974;1;;243248;206206;172172;189189;117117;160174;200200;114114;000000;174174;220220;118118;XY;1;-;2020-01-14;;;;;;Archimbaud;;Lac Nègre;0;1038716;6347913;
S04_2020;626179;Mercantour;;F414;;individuelle;fèces silica;2-Douteux;NA;-;0,615384615384615;8;1;timidus;0,996;0,952;1;;000000;216218;172172;000000;117117;158158;200200;126130;000000;174182;000000;116118;000000;1;-;2020-01-14;;;;;;Archimbaud;;Lac Nègre;0;1038522;6349417;
S04_2020;626180;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-001;Mâle;1;12;1;timidus;0,996;0,948;1;;246248;218218;172172;189191;117117;158174;200200;114130;122129;182182;215220;116118;XY;1;-;2020-01-02;;;;;;Pardi;;Madone;0;1048981;6344167;
S04_2020;626186;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-001;Mâle;1;12;1;timidus;0,99;0,871;1;;246248;218218;172172;189189;117117;158174;200202;114130;122122;182182;215220;116118;XY;1;-;2020-01-02;;;;;;Pardi;;Madone;0;1049026;6344276;
S04_2020;626649;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-062;Mâle;1;12;1;europaeus;0,066;0;0,352;;243243;208208;172172;191191;117117;170170;196204;114130;129131;186197;218218;122124;XY;1;-;;;;;;;Breton;;Le Colombier;;1005409;6380829;
S04_2020;628718;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-063;Mâle;1;12;1;timidus;0,987;0,826;1;;243248;208208;172172;191191;117117;160160;200200;114114;129133;172182;215220;116116;XY;1;-;2019-02-18;;;;;;Mansons;;Mounier;;1017204;6345359;
S04_2020;628719;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-064;Mâle;1;12;1;timidus;0,994;0,923;1;;243247;208208;172172;189189;117117;160160;200200;126130;125125;174182;215215;116116;XY;1;-;2019-02-18;;;;;;Mansons;;Mounier;;1016788;6346906;
