Session;N_LOT ANTAGENE;N_Antagene associés;Nb crottes lot;Timidus;Europaeus;Conclusion;Commentaire ANTAGENE;trace_sour;date_creat;nom_maille;id_lot;cod_maille;code_lot_Client
S04_2020;LOT176;655534 - 655536;2;non;oui;europaeus seul;;3;2020-04-20;bois_delioras;17584;bois_delioras_3;bois_delioras_3_17584
S04_2020;LOT177;630354 - 655539;2;non;oui;europaeus seul;;3;2020-04-20;bois_delioras;18163;bois_delioras_3;bois_delioras_3_18163
S04_2020;LOT178;655543 - 655549;2;non;oui;europaeus seul;;3;2020-04-20;bois_delioras;18164;bois_delioras_3;bois_delioras_3_18164
S04_2020;LOT179;655544 - 655548;2;non;oui;europaeus seul;;3;2020-04-20;bois_delioras;18742;bois_delioras_3;bois_delioras_3_18742
S04_2020;LOT180;630314 - 630383;2;oui;non;timidus seul;;3;2020-04-20;bois_delioras;19326;bois_delioras_3;bois_delioras_3_19326
S04_2020;LOT181;655529 - 655542;2;oui;non;timidus seul;;3;2020-04-20;bois_delioras;19330;bois_delioras_3;bois_delioras_3_19330
S04_2020;LOT182;630337 - 630382;2;non;oui;europaeus seul;;3;2020-04-20;bois_delioras;21070;bois_delioras_3;bois_delioras_3_21070
S04_2020;LOT183;628788 - 630348;2;oui;oui;2 espèces;;3;2020-04-20;bois_delioras;21653;bois_delioras_3;bois_delioras_3_21653
S04_2020;LOT184;630330 - 630345;2;non;oui;europaeus seul;;3;2020-04-20;bois_delioras;22231;bois_delioras_3;bois_delioras_3_22231
S04_2020;LOT185;630347 - 630369;2;non;oui;europaeus seul;;3;2020-04-20;bois_delioras;22232;bois_delioras_3;bois_delioras_3_22232
S04_2020;LOT186;630340 - 630361;2;oui;non;timidus seul;;31;2020-04-20;font_crese;30365;font_crese_31;font_crese_31_30365
S04_2020;LOT187;630368 - 630376;2;oui;non;timidus seul;;31;2020-04-20;font_crese;30369;font_crese_31;font_crese_31_30369
S04_2020;LOT188;667714 - 667723;2;oui;non;timidus seul;;29;2020-04-20;moutiere;73350;moutiere_29;moutiere_29_73350
S04_2020;LOT189;630323 - 630325;2;oui;non;timidus seul;;29;2020-04-20;moutiere;74514;moutiere_29;moutiere_29_74514
S04_2020;LOT190;655516 - 655756;2;oui;non;timidus seul;;35;2020-04-20;tete_sanguiniere;81488;tete_sanguinere_35;tete_sanguinere_35_81488
S04_2020;LOT191;655550 - 655759;2;oui;non;timidus seul;;35;2020-04-20;tete_sanguiniere;83227;tete_sanguinere_35;tete_sanguinere_35_83227
S04_2020;LOT192;655557 - 655763;2;oui;non;timidus seul;;35;2020-04-20;tete_sanguiniere;83231;tete_sanguinere_35;tete_sanguinere_35_83231
S04_2020;LOT193;630462 - 630463;2;oui;non;timidus seul;;35;2020-04-20;tete_sanguiniere;85552;tete_sanguinere_35;tete_sanguinere_35_85552
S04_2020;LOT194;655504 - 655505;2;oui;non;timidus seul;;35;2020-04-20;tete_sanguiniere;86709;tete_sanguinere_35;tete_sanguinere_35_86709
S04_2020;LOT195;629014 - 629016;2;oui;non;timidus seul;;48;2020-04-20;gipiere;87285;gipiere_48;gipiere_48_87285
S04_2020;LOT196;629011 - 629017;2;oui;non;timidus seul;silica bleu;48;2020-04-20;gipiere;87867;gipiere_48;gipiere_48_87867
S04_2020;LOT197;655789 - 655790;2;oui;non;timidus seul;;42;2020-04-20;rougnouse;88369;rougnouse_42;rougnouse_42_88369
S04_2020;LOT198;628981 - 629018;2;oui;non;timidus seul;;48;2020-04-20;gipiere;88449;gipiere_48;gipiere_48_88449
S04_2020;LOT199;655781 - 655782;2;oui;non;timidus seul;;42;2020-04-20;rougnouse;88948;rougnouse_42;rougnouse_42_88948
S04_2020;LOT200;630430 - 630431;2;oui;non;timidus seul;;48;2020-04-20;gipiere;89025;gipiere_48;gipiere_48_89025
S04_2020;LOT201;630429 - 630436;2;oui;non;timidus seul;;48;2020-04-20;gipiere;89604;gipiere_48;gipiere_48_89604
S04_2020;LOT202;630427 - 630428;2;oui;non;timidus seul;;48;2020-04-20;gipiere;90185;gipiere_48;gipiere_48_90185
S04_2020;LOT203;630421 - 630422;2;oui;non;timidus seul;;48;2020-04-20;gipiere;91347;gipiere_48;gipiere_48_91347
S04_2020;LOT204;630411 - 630516;2;oui;non;timidus seul;;48;2020-04-20;gipiere;91353;gipiere_48;gipiere_48_91353
S04_2020;LOT205;630415 - 630416;2;oui;non;timidus seul;;48;2020-04-20;gipiere;92509;gipiere_48;gipiere_48_92509
