"";"x";"y"
"1";1005234;6382662
"2";1005934;6382662
"3";1004534;6382462
"4";1005034;6382462
"5";1004134;6382362
"6";1004434;6382362
"7";1004934;6382362
"8";1004334;6382262
"9";1004634;6382262
"10";1004734;6382262
"11";1004934;6382262
"12";1004934;6382162
"13";1004434;6382062
"14";1004534;6382062
"15";1004734;6382062
"16";1004834;6381862
"17";1004234;6381762
"18";1004734;6381562
"19";1004834;6381562
"20";1004734;6379362
"21";1004934;6379262
"22";1004134;6378662
"23";1004234;6378662
"24";1005034;6378662
"25";1005534;6378662
"26";1004934;6378562
"27";1005134;6378562
"28";1003834;6377962
"29";1003634;6377762
"30";1000734;6374862
"31";1000834;6374862
"32";1000734;6374762
"33";1000434;6374662
"34";1001034;6374462
"35";1000834;6374262
"36";1001934;6364462
"37";1002034;6364462
"38";1001934;6364362
"39";1003034;6363962
"40";1003134;6363962
"41";1002134;6363862
"42";1001534;6363762
"43";1002334;6363762
"44";1002434;6363762
"45";1001834;6363662
"46";1002634;6363662
"47";1003034;6363562
"48";1002234;6363462
"49";1002734;6363462
"50";1003034;6363462
"51";1002734;6363362
"52";1002934;6363362
"53";1001634;6363262
"54";1001834;6363262
"55";1002034;6363262
"56";1002334;6363262
"57";1001534;6361162
"58";1003134;6361062
"59";1003234;6361062
"60";1001434;6360562
"61";1001534;6360562
"62";1002634;6360562
"63";1003234;6360562
"64";1003334;6360562
"65";1002334;6360462
"66";1002434;6360462
"67";1003234;6360462
"68";1001734;6360362
"69";1001934;6360362
"70";1003134;6360362
"71";1003434;6360362
"72";1001634;6360262
"73";1001734;6360262
"74";1001934;6360262
"75";1002034;6360262
"76";1001834;6360162
"77";1001934;6360162
"78";1002034;6360162
"79";1002234;6360162
"80";1001934;6360062
"81";1002334;6360062
"82";1002334;6359962
"83";1002434;6359962
"84";1001534;6359762
"85";1003434;6359762
"86";1001634;6359662
"87";1002634;6359662
"88";1003434;6359662
"89";1002634;6359562
"90";1001734;6359462
"91";1001634;6359362
"92";1002134;6359362
"93";1001734;6359262
"94";1001534;6359162
"95";1001734;6359162
"96";1001934;6359162
"97";1002134;6359162
"98";1002334;6359162
"99";1003034;6359162
"100";1000634;6359062
"101";1000834;6359062
"102";1000634;6358962
"103";1000934;6358962
"104";984834;6358862
"105";1001034;6358862
"106";984534;6358762
"107";999734;6358762
"108";999934;6358762
"109";1000834;6358762
"110";1001134;6358762
"111";984534;6358662
"112";1000034;6358662
"113";1000934;6358662
"114";1001134;6358662
"115";1001234;6358662
"116";984534;6358562
"117";985034;6358562
"118";1001034;6358562
"119";1001134;6358562
"120";984634;6358462
"121";985134;6358462
"122";985234;6358462
"123";985334;6358462
"124";999934;6358462
"125";1001134;6358462
"126";984634;6358362
"127";985234;6358362
"128";984634;6358262
"129";999534;6358262
"130";1001234;6358262
"131";1001434;6358262
"132";999634;6358162
"133";1001034;6358162
"134";1001134;6358162
"135";1001234;6358162
"136";999534;6358062
"137";999534;6357962
"138";1000934;6357962
"139";984334;6357862
"140";999634;6357862
"141";1000534;6357862
"142";1000634;6357862
"143";985034;6357762
"144";985134;6357762
"145";985234;6357762
"146";985334;6357762
"147";999534;6357762
"148";999634;6357762
"149";1000534;6357762
"150";1000734;6357762
"151";1001034;6357762
"152";983634;6357662
"153";984934;6357662
"154";985434;6357662
"155";999634;6357662
"156";1000934;6357662
"157";1001334;6357662
"158";984234;6357562
"159";984934;6357562
"160";999634;6357562
"161";1000734;6357562
"162";1000834;6357562
"163";1001234;6357562
"164";983634;6357462
"165";984134;6357462
"166";1000534;6357462
"167";1001234;6357462
"168";983634;6357362
"169";984134;6357362
"170";984634;6357362
"171";984734;6357362
"172";983734;6357262
"173";999534;6357262
"174";999634;6357262
"175";999734;6357262
"176";983834;6357162
"177";983934;6357162
"178";984034;6357162
"179";1000834;6357162
"180";991634;6356462
"181";992234;6356462
"182";992034;6356262
"183";992234;6356262
"184";992534;6356162
"185";991734;6356062
"186";991834;6356062
"187";992134;6356062
"188";992234;6356062
"189";992134;6355962
"190";1000434;6353062
"191";1000434;6352962
"192";1000634;6352962
"193";1000734;6352962
"194";1000434;6352862
"195";1000834;6352862
"196";1000434;6352762
"197";1000634;6352762
"198";1000834;6352762
"199";1000034;6352562
"200";1000534;6352562
"201";1000134;6352462
"202";1001434;6349662
"203";1000634;6349362
"204";1000634;6349262
"205";1000834;6349262
"206";1000834;6349162
"207";1035834;6349062
"208";1035934;6349062
"209";1036034;6349062
"210";1035934;6348962
"211";1036034;6348962
"212";1036034;6348862
"213";1036234;6348662
"214";1036134;6348562
"215";1036434;6348062
"216";1036234;6347962
"217";1036434;6347962
"218";1036534;6347962
"219";990834;6347062
"220";1037034;6347062
"221";990734;6346962
"222";1037434;6346962
"223";1037734;6346962
"224";1038234;6346962
"225";990934;6346862
"226";991034;6346862
"227";1038634;6346862
"228";990034;6346762
"229";990334;6346762
"230";990934;6346762
"231";1038234;6346762
"232";1038734;6346762
"233";989934;6346662
"234";990034;6346662
"235";1038734;6346662
"236";989834;6346562
"237";990034;6346562
"238";989534;6346462
"239";989734;6346462
"240";989934;6346462
"241";990034;6346462
"242";990134;6346462
"243";990234;6346462
"244";990434;6346462
"245";990134;6346362
"246";991134;6346362
"247";990134;6346262
"248";1039534;6346262
"249";989534;6346162
"250";990134;6346162
"251";990834;6346162
"252";990134;6345962
"253";990634;6345962
"254";1038734;6345862
"255";990334;6345762
"256";1038834;6345762
"257";990234;6345662
"258";990334;6345662
"259";1039134;6345562
"260";991434;6345462
"261";990234;6345362
"262";990634;6345362
"263";989634;6345262
"264";989734;6345162
"265";1035234;6344662
"266";1035134;6344462
"267";1035434;6344462
"268";1034834;6344362
"269";1058134;6344062
"270";1058234;6344062
"271";1058534;6344062
"272";1058634;6343962
"273";1058734;6343962
"274";1057634;6343862
"275";1058034;6343862
"276";1058834;6343862
"277";1057634;6343662
