"";"pearson.correlation.coefficient.alt_PNM";"pearson.correlation.coefficient.pente_PNM";"pearson.correlation.coefficient.rugosite_PNM";"pearson.correlation.coefficient.tpi_PNM";"pearson.correlation.coefficient.roches_PNM";"pearson.correlation.coefficient.pelouses_prairies_PNM";"pearson.correlation.coefficient.landes_PNM";"pearson.correlation.coefficient.forets_PNM";"pearson.correlation.coefficient.dist_chemins_PNM";"pearson.correlation.coefficient.dist_troncon_eau_PNM";"pearson.correlation.coefficient.dist_foret_PNM";"pearson.correlation.coefficient.dist_ski_PNM";"pearson.correlation.coefficient.neige_PNM";"pearson.correlation.coefficient.dist_bati_PNM";"mean"
"alt_PNM";1;-0,0990217994697337;-0,0930826270906816;0,22192967794049;0,729481687369636;0,0825551217287029;-0,217765366110444;-0,671621284371725;0,40912404930677;0,212586512792776;0,574644375937908;-0,191278478825356;0,90467465367135;0,554521460667144;-9,83708008745963e-17
"pente_PNM";-0,0990217994697337;1;0,986275547079773;0,129959664402216;0,076994844334343;-0,365683630606989;0,213429996016392;0,190275609240332;0,2336191297118;-0,0470174483571605;-0,111215930044428;0,162417527849869;-0,2422998883754;0,0219106566208817;2,32800479080642e-17
"rugosite_PNM";-0,0930826270906816;0,986275547079773;1;0,12185471440033;0,106050988914243;-0,373284995265576;0,20808131487419;0,168395906168282;0,246344230936892;-0,0350146486308803;-0,0821513674609479;0,163681029012011;-0,225750540340792;0,0338813957420579;3,22330728229033e-16
"tpi_PNM";0,22192967794049;0,129959664402216;0,12185471440033;1;0,176426188066003;-0,0402436284521148;0,0137321301915732;-0,124326218575862;0,162225309585507;0,237613495490082;0,0994345075515099;0,00215217778578757;0,11167444443244;0,0494177093008345;-1,70549793666702e-17
"roches_PNM";0,729481687369636;0,076994844334343;0,106050988914243;0,176426188066003;1;-0,294697916518982;-0,202433782112207;-0,63015283043075;0,478927944356805;0,272797109024689;0,696316171859913;-0,0861768347425639;0,734146839616276;0,458625159975782;-1,339290596072e-16
"pelouses_prairies_PNM";0,0825551217287029;-0,365683630606989;-0,373284995265576;-0,0402436284521148;-0,294697916518982;1;-0,0319981854891015;-0,518356303269758;-0,146683461916193;-0,141175885464734;-0,0484292822491588;0,0102579434421833;0,113390920862358;0,0635346049158761;5,68995202204213e-17
"landes_PNM";-0,217765366110444;0,213429996016392;0,20808131487419;0,0137321301915732;-0,202433782112207;-0,0319981854891015;1;-0,0243370064896274;-0,0492959615616465;-0,0526162153473734;-0,157806206510096;0,0576365969990773;-0,307375137579857;-0,158408864929119;9,20330534537405e-17
"forets_PNM";-0,671621284371725;0,190275609240332;0,168395906168282;-0,124326218575862;-0,63015283043075;-0,518356303269758;-0,0243370064896274;1;-0,303833908398976;-0,122283697557463;-0,562612562995928;0,0600420772013156;-0,684730355481439;-0,425216387598918;-1,4750924125367e-16
"dist_chemins_PNM";0,40912404930677;0,2336191297118;0,246344230936892;0,162225309585507;0,478927944356805;-0,146683461916193;-0,0492959615616465;-0,303833908398976;1;0,0889375157579278;0,327160587493682;-0,0108191039979474;0,372791563690051;0,267558555444584;3,38073726887727e-17
"dist_troncon_eau_PNM";0,212586512792776;-0,0470174483571605;-0,0350146486308803;0,237613495490082;0,272797109024689;-0,141175885464734;-0,0526162153473734;-0,122283697557463;0,0889375157579278;1;0,151931493611538;0,0118772367141707;0,21765741923203;0,0633130549588143;-6,46933421925292e-17
"dist_foret_PNM";0,574644375937908;-0,111215930044428;-0,0821513674609479;0,0994345075515099;0,696316171859913;-0,0484292822491588;-0,157806206510096;-0,562612562995928;0,327160587493682;0,151931493611538;1;0,0343646136457929;0,619385460865352;0,488217006033222;-7,4459791337224e-17
"dist_ski_PNM";-0,191278478825356;0,162417527849869;0,163681029012011;0,00215217778578757;-0,0861768347425639;0,0102579434421833;0,0576365969990773;0,0600420772013156;-0,0108191039979474;0,0118772367141707;0,0343646136457929;1;-0,11122315745536;0,241894279842201;7,00449043332615e-18
"neige_PNM";0,90467465367135;-0,2422998883754;-0,225750540340792;0,11167444443244;0,734146839616276;0,113390920862358;-0,307375137579857;-0,684730355481439;0,372791563690051;0,21765741923203;0,619385460865352;-0,11122315745536;1;0,578089763475659;-1,08803611310222e-17
"dist_bati_PNM";0,554521460667144;0,0219106566208817;0,0338813957420579;0,0494177093008345;0,458625159975782;0,0635346049158761;-0,158408864929119;-0,425216387598918;0,267558555444584;0,0633130549588143;0,488217006033222;0,241894279842201;0,578089763475659;1;-3,97744997184116e-17
